Sale Key,City Key,Customer Key,Bill To Customer Key,Stock Item Key,Invoice Date Key,Delivery Date Key,Salesperson Key,WWI Invoice ID,Description,Package,Quantity,Unit Price,Tax Rate,Total Excluding Tax,Tax Amount,Profit,Total Including Tax,Total Dry Items,Total Chiller Items,Lineage Key,Profit Margin,Customer Segment,Stock Item,Color,City,State Province,Customer
49265,41568,0,0,204,2013-10-22,10/23/2013,83,15189,DBA joke mug - mind if I join you? (White),Each,6,13.0,15,78.0,11.7,51.0,89.7,6,0,11,0.568561872909699,Standard,DBA joke mug - mind if I join you? (White),White,Lompoc,California,Unknown
49372,48937,0,0,173,2013-10-22,10/23/2013,83,15218,Developer joke mug - a foo walks into a bar (Black),Each,6,13.0,15,78.0,11.7,51.0,89.7,6,0,11,0.568561872909699,Standard,Developer joke mug - a foo walks into a bar (Black),Black,Caruthers,California,Unknown
50379,91464,0,0,174,2013-10-28,10/29/2013,70,15525,Developer joke mug - a foo walks into a bar (White),Each,6,13.0,15,78.0,11.7,51.0,89.7,6,0,11,0.568561872909699,Standard,Developer joke mug - a foo walks into a bar (White),White,Venersborg,Washington,Unknown
51852,48937,0,0,171,2013-11-06,11/7/2013,74,15986,Developer joke mug - this code was generated by a tool (Black),Each,6,13.0,15,78.0,11.7,51.0,89.7,6,0,11,0.568561872909699,Standard,Developer joke mug - this code was generated by a tool (Black),Black,Caruthers,California,Unknown
52374,89925,0,0,203,2013-11-08,11/9/2013,39,16138,DBA joke mug - mind if I join you? (Black),Each,6,13.0,15,78.0,11.7,51.0,89.7,6,0,11,0.568561872909699,Standard,DBA joke mug - mind if I join you? (Black),Black,Cave Junction,Oregon,Unknown
53463,72709,0,0,183,2013-11-15,11/16/2013,91,16464,Developer joke mug - when your hammer is C++ (Black),Each,6,13.0,15,78.0,11.7,51.0,89.7,6,0,11,0.568561872909699,Standard,Developer joke mug - when your hammer is C++ (Black),Black,Ekwok,Alaska,Unknown
53591,87633,0,0,202,2013-11-16,11/17/2013,91,16501,DBA joke mug - daaaaaa-ta (White),Each,6,13.0,15,78.0,11.7,51.0,89.7,6,0,11,0.568561872909699,Standard,DBA joke mug - daaaaaa-ta (White),White,Meadowdale,Washington,Unknown
54792,77092,0,0,176,2013-11-22,11/23/2013,91,16867,Developer joke mug - there are 10 types of people in the world (White),Each,6,13.0,15,78.0,11.7,51.0,89.7,6,0,11,0.568561872909699,Standard,Developer joke mug - there are 10 types of people in the world (White),White,Wasco,Oregon,Unknown
55582,47692,0,0,175,2013-11-28,11/29/2013,19,17112,Developer joke mug - there are 10 types of people in the world (Black),Each,6,13.0,15,78.0,11.7,51.0,89.7,6,0,11,0.568561872909699,Standard,Developer joke mug - there are 10 types of people in the world (Black),Black,Termo,California,Unknown
56531,47134,0,0,191,2013-12-03,12/4/2013,91,17405,DBA joke mug - two types of DBAs (Black),Each,6,13.0,15,78.0,11.7,51.0,89.7,6,0,11,0.568561872909699,Standard,DBA joke mug - two types of DBAs (Black),Black,Nicasio,California,Unknown
