Feature,Importance
Product Purchased_te,0.32197347
svd_40,0.13237302
svd_19,0.1216977
svd_36,0.12112255
svd_49,0.11127092
Customer Age,0.105823554
svd_42,0.08632315
svd_14,0.084534936
svd_37,0.07851415
svd_32,0.07808261
svd_34,0.07459528
svd_46,0.071149655
svd_33,0.07086117
svd_48,0.0706934
svd_12,0.06949724
svd_2,0.05927159
svd_6,0.058047835
svd_25,0.057349365
svd_13,0.056998156
Ticket Type_te,0.05673991
svd_21,0.055221595
svd_0,0.053299192
svd_43,0.052108504
svd_23,0.05153954
svd_44,0.04958647
svd_30,0.0487691
svd_31,0.047672503
svd_45,0.047295276
svd_1,0.047052816
Customer Gender_te,0.046815515
svd_24,0.046430152
svd_47,0.046191804
svd_18,0.043764867
svd_38,0.042090468
svd_9,0.041147448
svd_27,0.04055535
svd_17,0.039872512
svd_10,0.03890723
svd_26,0.038600378
svd_41,0.03799865
svd_16,0.03676633
svd_39,0.036569312
svd_11,0.035810653
svd_15,0.035576116
svd_29,0.034832347
svd_22,0.03355314
svd_3,0.03316154
svd_7,0.031648867
svd_4,0.031515494
svd_28,0.030525614
svd_20,0.028008621
Prio_Score,0.02755943
svd_8,0.02584179
svd_5,0.025216516
Ticket Channel_te,0.024432378
svd_35,0.023064582
Res_Hours,0.022202253
Age_Pressure,0.014344815
Friction_Index,0.014149219
